layer,input_index,output_index,weight
fc2.weight,23,7,796
fc2.weight,24,7,-91
fc2.weight,25,7,910
fc2.weight,26,7,-189
fc2.weight,27,7,731
fc2.weight,28,7,-56
fc2.weight,29,7,1
fc2.weight,30,7,707
fc2.weight,31,7,-369
fc2.weight,32,7,0
fc2.weight,33,7,0
fc2.weight,34,7,258
fc2.weight,35,7,1087
fc2.weight,36,7,722
fc2.weight,37,7,106
fc2.weight,38,7,0
fc2.weight,39,7,-50
fc2.weight,40,7,258
fc2.weight,41,7,516
fc2.weight,42,7,-1202
fc2.weight,43,7,312
fc2.weight,44,7,221
fc2.weight,45,7,218
fc2.weight,46,7,0
fc2.weight,47,7,178
fc2.weight,48,7,0
fc2.weight,49,7,-2958
fc2.weight,50,7,468
fc2.weight,51,7,-58
fc2.weight,52,7,0
fc2.weight,53,7,0
fc2.weight,54,7,-285
fc2.weight,55,7,0
fc2.weight,56,7,10
fc2.weight,57,7,0
fc2.weight,58,7,555
fc2.weight,59,7,385
fc2.weight,60,7,0
fc2.weight,61,7,0
fc2.weight,62,7,-183
fc2.weight,63,7,-3792
fc2.weight,0,8,-1361
fc2.weight,1,8,292
fc2.weight,2,8,-114
fc2.weight,3,8,3246
fc2.weight,4,8,0
fc2.weight,5,8,-94
fc2.weight,6,8,167
fc2.weight,7,8,613
fc2.weight,8,8,332
fc2.weight,9,8,-218
fc2.weight,10,8,-378
fc2.weight,11,8,6
fc2.weight,12,8,303
fc2.weight,13,8,3163
fc2.weight,14,8,-364
fc2.weight,15,8,588
fc2.weight,16,8,550
fc2.weight,17,8,0
fc2.weight,18,8,-135
fc2.weight,19,8,-1427
fc2.weight,20,8,19
fc2.weight,21,8,1045
fc2.weight,22,8,-461
fc2.weight,23,8,-467
fc2.weight,24,8,-209
fc2.weight,25,8,36
fc2.weight,26,8,-116
fc2.weight,27,8,39
fc2.weight,28,8,-3246
fc2.weight,29,8,-1545
fc2.weight,30,8,533
fc2.weight,31,8,236
fc2.weight,32,8,0
fc2.weight,33,8,0
fc2.weight,34,8,243
fc2.weight,35,8,-2015
fc2.weight,36,8,2117
fc2.weight,37,8,235
fc2.weight,38,8,0
fc2.weight,39,8,558
fc2.weight,40,8,127
fc2.weight,41,8,2984
fc2.weight,42,8,-272
fc2.weight,43,8,115
fc2.weight,44,8,1589
fc2.weight,45,8,472
